Date : 2025-06-04 13:45:09
Directory : c:\Users\mattr\Isometric Alpha
Total : 1007 files,  145172 codes, 11315 comments, 36935 blanks, all 193422 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\5SlaveShack\Dialogue\WallPatchJobCampSEThree.json                                             | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\6SlaveShack\Dialogue\Thatch.ink                                                               | Ink         |        274 |          0 |        125 |        399 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\6SlaveShack\Dialogue\Thatch.json                                                              | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\6SlaveShack\Dialogue\WallPatchJobCampSEOne.ink                                                | Ink         |         91 |          0 |         69 |        160 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\6SlaveShack\Dialogue\WallPatchJobCampSEOne.json                                               | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\6SlaveShack\Dialogue\WallPatchJobCampSETwo.ink                                                | Ink         |         91 |          0 |         69 |        160 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\6SlaveShack\Dialogue\WallPatchJobCampSETwo.json                                               | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\7SlaveShack\Dialogue\Clay.ink                                                                 | Ink         |        360 |          0 |        141 |        501 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\7SlaveShack\Dialogue\Clay.json                                                                | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_1\Dialogue\BookshelvesWithHiddenPassage.ink                                       | Ink         |         92 |          0 |         67 |        159 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_1\Dialogue\BookshelvesWithHiddenPassage.json                                      | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_1\Dialogue\DiningRoomDoors.ink                                                    | Ink         |         80 |          0 |         65 |        145 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_1\Dialogue\DiningRoomDoors.json                                                   | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_1\Dialogue\LoyalImre.ink                                                          | Ink         |         96 |          0 |         68 |        164 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_1\Dialogue\LoyalImre.json                                                         | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_1\Dialogue\MRSecretDoor.ink                                                       | Ink         |         93 |          0 |         67 |        160 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_1\Dialogue\MRSecretDoor.json                                                      | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_1\Dialogue\Manse Gate Inside.ink                                                  | Ink         |         35 |          0 |         15 |         50 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_1\Dialogue\Manse Gate Inside.json                                                 | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_2\Dialogue\Director\DirectorCombatConvo.ink                                       | Ink         |        179 |          0 |        119 |        298 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_2\Dialogue\Director\DirectorCombatConvo.json                                      | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_2\Dialogue\OfficeDoor.ink                                                         | Ink         |         95 |          0 |         72 |        167 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_2\Dialogue\OfficeDoor.json                                                        | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_2\Dialogue\OfficeSecretDoor.ink                                                   | Ink         |        100 |          0 |         69 |        169 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Manse_Floor_2\Dialogue\OfficeSecretDoor.json                                                  | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MessHall\Dialogue\KendeTheCook.ink                                                            | Ink         |        187 |          0 |         99 |        286 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MessHall\Dialogue\KendeTheCook.json                                                           | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Interactable Terrain\1a\WallThatIsADoor.ink                                | Ink         |         95 |          0 |         70 |        165 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Interactable Terrain\1a\WallThatIsADoor.json                               | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Interactable Terrain\7b\WallThatIsADoor.ink                                | Ink         |         91 |          0 |         67 |        158 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Interactable Terrain\7b\WallThatIsADoor.json                               | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Interactable Terrain\SecretDoorNote.ink                                    | Ink         |         88 |          0 |         66 |        154 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Interactable Terrain\SecretDoorNote.json                                   | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Level 3 Gate.ink                                                           | Ink         |         80 |          0 |         65 |        145 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Level 3 Gate.json                                                          | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Liftable Gate.ink                                                          | Ink         |         96 |          0 |         71 |        167 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Liftable Gate.json                                                         | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Mine Armory Gate.ink                                                       | Ink         |         96 |          0 |         71 |        167 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Mine Armory Gate.json                                                      | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Movable Barrel.ink                                                         | Ink         |         80 |          0 |         65 |        145 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Movable Barrel.json                                                        | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Portcullis Controls.ink                                                    | Ink         |        105 |          0 |         74 |        179 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Portcullis Controls.json                                                   | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Puzzle Gate.ink                                                            | Ink         |         78 |          0 |         60 |        138 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_2\Dialogue\Puzzle Gate.json                                                           | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Guards\GuardPazmanDialogue.ink                                             | Ink         |        105 |          0 |         84 |        189 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Guards\GuardPazmanDialogue.json                                            | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Guards\GuardRekaDialogue.ink                                               | Ink         |        102 |          0 |         84 |        186 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Guards\GuardRekaDialogue.json                                              | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Guards\GuardViragDialogue.ink                                              | Ink         |        102 |          0 |         84 |        186 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Guards\GuardViragDialogue.json                                             | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Guards\GuardsCrate.ink                                                     | Ink         |        344 |          0 |        184 |        528 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Guards\GuardsCrate.json                                                    | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Guards\Old\GuardPazmanDialogue.ink                                         | Ink         |        105 |          0 |         84 |        189 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Guards\Old\GuardPazmanDialogue.json                                        | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Guards\Old\GuardsCrate.ink                                                 | Ink         |        189 |          0 |        123 |        312 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Guards\Old\GuardsCrate.json                                                | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Liftable Gate - 2b.ink                                                     | Ink         |         96 |          0 |         71 |        167 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Liftable Gate - 2b.json                                                    | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Miners\CarterDialogue.ink                                                  | Ink         |         92 |          0 |         67 |        159 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Miners\CarterDialogue.json                                                 | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Miners\GuardMarcosDialogue.ink                                             | Ink         |        133 |          0 |         67 |        200 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Miners\GuardMarcosDialogue.json                                            | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Miners\MinersCrate.ink                                                     | Ink         |        361 |          0 |        149 |        510 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Miners\MinersCrate.json                                                    | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Miners\NandorDialogue.ink                                                  | Ink         |         92 |          0 |         69 |        161 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Miners\NandorDialogue.json                                                 | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\PocketRubble.ink                                                           | Ink         |        546 |          0 |        286 |        832 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\PocketRubble.json                                                          | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Puzzle Gate.ink                                                            | Ink         |         78 |          0 |         60 |        138 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\Puzzle Gate.json                                                           | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\WallThatIsADoor.ink                                                        | Ink         |         93 |          0 |         67 |        160 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\MineLvl_3\Dialogue\WallThatIsADoor.json                                                       | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Pit\Dialogue\Broglin.ink                                                                      | Ink         |         99 |          0 |         48 |        147 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Pit\Dialogue\Broglin.json                                                                     | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Pit\Dialogue\Pit Gate.ink                                                                     | Ink         |         93 |          0 |         66 |        159 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Pit\Dialogue\Pit Gate.json                                                                    | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\BarricadeGuards\BarricadeGuards1-2.ink                                    | Ink         |         34 |          0 |         13 |         47 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\BarricadeGuards\BarricadeGuards1-2.json                                   | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\BarricadeGuards\BarricadeGuards3AndUp.ink                                 | Ink         |        112 |          0 |         54 |        166 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\BarricadeGuards\BarricadeGuards3AndUp.json                                | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Camp Gate.ink                                                             | Ink         |         27 |          0 |          9 |         36 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Camp Gate.json                                                            | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\CampSEPatchJobs\WallPatchJobCampSEOne.ink                                 | Ink         |         91 |          0 |         69 |        160 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\CampSEPatchJobs\WallPatchJobCampSEOne.json                                | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\CampSEPatchJobs\WallPatchJobCampSEThree.ink                               | Ink         |         91 |          0 |         69 |        160 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\CampSEPatchJobs\WallPatchJobCampSEThree.json                              | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\CampSEPatchJobs\WallPatchJobCampSETwo.ink                                 | Ink         |         91 |          0 |         69 |        160 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\CampSEPatchJobs\WallPatchJobCampSETwo.json                                | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardMuzsa.ink                                                            | Ink         |        268 |          0 |        143 |        411 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardMuzsa.json                                                           | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\Broglin.ink                                              | Ink         |         83 |          0 |         69 |        152 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\Broglin.json                                             | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\Carter.ink                                               | Ink         |         83 |          0 |         67 |        150 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\Carter.json                                              | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\ChiefTabor.ink                                           | Ink         |        766 |          0 |        430 |      1,196 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\ChiefTabor.json                                          | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\CrowdSlave.ink                                           | Ink         |         87 |          0 |         69 |        156 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\CrowdSlave.json                                          | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\Garcha.ink                                               | Ink         |          9 |          0 |          8 |         17 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\Garcha.json                                              | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\GuardAndras.ink                                          | Ink         |        262 |          0 |        136 |        398 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\GuardAndras.json                                         | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\GuardMarcos.ink                                          | Ink         |        225 |          0 |        138 |        363 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\GuardMarcos.json                                         | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\Janos.ink                                                | Ink         |         95 |          0 |         67 |        162 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\Janos.json                                               | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\Kastor.ink                                               | Ink         |         24 |          0 |          9 |         33 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\Kastor.json                                              | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\Nandor.ink                                               | Ink         |        237 |          0 |        125 |        362 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\GuardPunishments\Nandor.json                                              | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\HastilyBuiltBarricade.ink                                                 | Ink         |         98 |          0 |         73 |        171 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\HastilyBuiltBarricade.json                                                | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Imre.ink                                                                  | Ink         |        510 |          0 |        134 |        644 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Imre.json                                                                 | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\LeafSamplePile.ink                                                        | Ink         |         29 |          0 |         19 |         48 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\LeafSamplePile.json                                                       | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Manse Gate.ink                                                            | Ink         |         47 |          0 |         21 |         68 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Manse Gate.json                                                           | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Page\PageB4Leaving.ink                                                    | Ink         |        101 |          0 |         60 |        161 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Page\PageB4Leaving.json                                                   | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\PartyMember\Red.ink                                                       | Ink         |         95 |          0 |         72 |        167 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\PartyMember\Red.json                                                      | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Servants Entrance.ink                                                     | Ink         |         40 |          0 |         15 |         55 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Servants Entrance.json                                                    | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Tabor\Feher.ink                                                           | Ink         |         31 |          0 |          9 |         40 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Tabor\Feher.json                                                          | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Tabor\GuardWatchingTabor.ink                                              | Ink         |         37 |          0 |          8 |         45 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Tabor\GuardWatchingTabor.json                                             | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Tabor\SlavesWatchingTabor.ink                                             | Ink         |         31 |          0 |          9 |         40 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Tabor\SlavesWatchingTabor.json                                            | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Tabor\Tabor.ink                                                           | Ink         |        165 |          0 |        123 |        288 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Tabor\Tabor.json                                                          | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Temple.ink                                                                | Ink         |        153 |          0 |         83 |        236 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\Temple.json                                                               | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\WallPatchJobCampCenter1.ink                                               | Ink         |         91 |          0 |         69 |        160 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\WallPatchJobCampCenter1.json                                              | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\WallPatchJobCampCenter2.ink                                               | Ink         |         91 |          0 |         69 |        160 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Slave Camp\Dialogue\WallPatchJobCampCenter2.json                                              | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Stables\Dialogue\Placeholder.ink                                                              | Ink         |         87 |          0 |         66 |        153 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Stables\Dialogue\Placeholder.json                                                             | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Stockhouse\Dialogue\BarrelsWithNugget.ink                                                     | Ink         |         62 |          0 |         21 |         83 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Stockhouse\Dialogue\BarrelsWithNugget.json                                                    | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Stockhouse\Dialogue\Dud Crate.ink                                                             | Ink         |         34 |          0 |         15 |         49 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Stockhouse\Dialogue\Dud Crate.json                                                            | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Stockhouse\Dialogue\QuartermasterEmese.ink                                                    | Ink         |        143 |          0 |         80 |        223 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Stockhouse\Dialogue\QuartermasterEmese.json                                                   | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Stockhouse\Dialogue\Uros.ink                                                                  | Ink         |        224 |          0 |         99 |        323 |
| c:\Users\mattr\Isometric Alpha\Assets\Scenes\Stockhouse\Dialogue\Uros.json                                                                 | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader                                                  | UnityShader |        109 |          2 |         33 |        144 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                                                        | UnityShader |        112 |          3 |         31 |        146 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                                                               | UnityShader |        109 |          2 |         33 |        144 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                                                          | UnityShader |        243 |          4 |         71 |        318 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                                                              | UnityShader |        241 |          4 |         66 |        311 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader                                                   | UnityShader |        188 |         10 |         50 |        248 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader                                                   | UnityShader |        183 |          8 |         50 |        241 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                                                       | UnityShader |         82 |          4 |         21 |        107 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                                                           | UnityShader |        183 |          8 |         50 |        241 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader                                                   | UnityShader |        103 |          8 |         28 |        139 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                                                          | UnityShader |        122 |          4 |         33 |        159 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                                                                  | UnityShader |        243 |          4 |         71 |        318 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                                                               | UnityShader |         93 |          0 |         22 |        115 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMPro.cginc                                                                     | UnityShader |         63 |          2 |         20 |         85 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                                                              | UnityShader |        122 |          2 |         34 |        158 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                                                          | UnityShader |         62 |         10 |         14 |         86 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                                                             | UnityShader |         76 |          7 |         19 |        102 |
| c:\Users\mattr\Isometric Alpha\Assets\TextMesh Pro\Sprites\EmojiOne.json                                                                   | JSON        |        155 |          0 |          2 |        157 |
| c:\Users\mattr\Isometric Alpha\Assets\WanzyeeStudio\Scripts\Editor\Base\Extension\MenuExtension.cs                                         | C#          |         29 |         32 |         12 |         73 |
